i,CS
[unused0],N
do,N
not,N
[unused0],N
think,N
[unused0],N
any,N
[unused0],N
of,N
[unused0],N
us,N
-,N
-,N
-,N
even,N
[unused0],N
economic,N
[unused0],N
gurus,N
[unused0],N
like,N
[unused0],N
paul,N
[unused0],N
krugman,N
-,N
-,N
-,N
really,N
",",N
[unused0],N
truly,N
[unused0],N
understand,N
[unused0],N
just,N
[unused0],N
how,N
[unused0],N
bad,N
[unused0],N
it,N
[unused0],N
could've,N
[unused0],N
gotten,N
[unused0],N
"""",N
on,N
[unused0],N
main,N
[unused0],N
street,CE
"""",N
[unused0],N
if,AS
[unused0],N
the,N
[unused0],N
stimulus,N
[unused0],N
bill,N
[unused0],N
had,N
[unused0],N
become,N
[unused0],N
hamstrung,N
[unused0],N
by,N
[unused0],N
a,N
[unused0],N
filibuster,N
[unused0],N
threat,N
[unused0],N
or,N
[unused0],N
recalcitrant,N
[unused0],N
conservadems,AE
",",N
[unused0],N
the,N
[unused0],N
way,N
[unused0],N
so,N
[unused0],N
much,N
[unused0],N
of,N
[unused0],N
our,N
[unused0],N
legislation,N
[unused0],N
has,N
[unused0],N
since,N
.,N
[unused0],N
 , 
the,CS
[unused0],N
gop's,N
[unused0],N
malignant,N
[unused0],N
amnesia,N
[unused0],N
regarding,N
[unused0],N
the,N
[unused0],N
economy,N
[unused0],N
would,N
[unused0],N
be,N
[unused0],N
hilarious,CE
[unused0],N
were,AS
[unused0],N
it,N
[unused0],N
not,N
[unused0],N
for,N
[unused0],N
the,N
[unused0],N
wreckage,N
[unused0],N
they,N
[unused0],N
caused,AE
.,N
[unused0],N
 , 
opko,CS
[unused0],N
said,N
[unused0],N
in,N
[unused0],N
a,N
[unused0],N
statement,N
[unused0],N
friday,N
[unused0],N
that,N
[unused0],N
it,N
[unused0],N
was,N
[unused0],N
aware,N
[unused0],N
of,N
[unused0],N
the,N
[unused0],N
lawsuit,N
",",N
[unused0],N
but,N
[unused0],N
that,N
[unused0],N
the,N
[unused0],N
sec,N
[unused0],N
failed,N
[unused0],N
to,N
[unused0],N
notify,N
[unused0],N
the,N
[unused0],N
company,N
[unused0],N
of,N
[unused0],N
its,N
[unused0],N
intent,N
[unused0],N
to,N
[unused0],N
sue,N
[unused0],N
prior,N
[unused0],N
to,N
[unused0],N
filing,N
[unused0],N
the,N
[unused0],N
complaint,N
",",N
[unused0],N
which,N
[unused0],N
the,N
[unused0],N
company,N
[unused0],N
said,N
[unused0],N
"""",N
contains,N
[unused0],N
serious,N
[unused0],N
factual,N
[unused0],N
inaccuracies,N
.,N
"""",N
[unused0],N
"""",N
had,AS
[unused0],N
the,N
[unused0],N
sec,N
[unused0],N
followed,N
[unused0],N
its,N
[unused0],N
own,N
[unused0],N
standard,N
[unused0],N
procedures,AE
